0	-4	119	116	99	-99	-94	56	137	172	150	118	
4	0	123	120	103	-95	-90	45	141	176	154	122	
-119	-123	0	-3	-20	-218	-213	-63	18	53	31	-1	
-116	-120	3	0	-17	-215	-210	-60	21	56	34	2	
-99	-103	20	17	0	-198	-193	-43	38	73	51	19	
99	95	218	215	198	0	5	155	236	271	249	217	
94	90	213	210	193	-5	0	150	231	266	244	212	
-56	-45	63	60	43	-155	-150	0	81	116	94	62	
-137	-141	-18	-21	-38	-236	-231	-81	0	35	13	-19	
-172	-176	-53	-56	-73	-271	-266	-116	-35	0	-22	-54	
-150	-154	-31	-34	-51	-249	-244	-94	-13	22	0	-32	
-118	-122	1	-2	-19	-217	-212	-62	19	54	32	0	
