0	69	106	-45	140	-64	5	7	58	61	113	81	
-69	0	37	-114	71	-133	-64	-62	-11	-8	44	12	
-106	-37	0	-151	34	-170	-101	-99	-48	-45	7	-25	
45	114	151	0	185	-19	50	52	103	106	158	126	
-140	-71	-34	-185	0	-204	-135	-133	-82	-79	-27	-59	
64	133	170	19	204	0	69	71	122	125	177	145	
-5	64	101	-50	135	-69	0	2	53	56	108	76	
-7	62	99	-52	133	-71	-2	0	51	54	106	74	
-58	11	48	-103	82	-122	-53	-51	0	3	55	23	
-61	8	45	-106	79	-125	-56	-54	-3	0	52	20	
-113	-44	-7	-158	27	-177	-108	-106	-55	-52	0	-32	
-81	-12	25	-126	59	-145	-76	-74	-23	-20	32	0	
