0	-117	-209	-107	-212	-56	-77	-86	-114	-124	-127	-85	
117	0	-92	10	-95	61	40	31	3	-7	-10	32	
209	92	0	102	-3	153	132	123	95	85	82	124	
107	-10	-102	0	-105	51	30	21	-7	-17	-20	22	
212	95	3	105	0	156	135	126	98	88	85	127	
56	-61	-153	-51	-156	0	-21	-30	-58	-68	-71	-29	
77	-40	-132	-30	-135	21	0	-9	-37	-47	-50	-8	
86	-31	-123	-21	-126	30	9	0	-28	-38	-41	1	
114	-3	-95	7	-98	58	37	28	0	-10	-13	29	
124	7	-85	17	-88	68	47	38	10	0	-3	39	
127	10	-82	20	-85	71	50	41	13	3	0	42	
85	-32	-124	-22	-127	29	8	-1	-29	-39	-42	0	
