0	-71	-101	-90	-153	-82	-68	-24	18	-3	39	74	
71	0	-30	-19	-82	-11	3	47	89	68	110	145	
101	30	0	11	-52	19	33	77	119	98	140	175	
90	19	-11	0	-63	8	22	66	108	87	129	164	
153	82	52	63	0	71	85	129	171	150	192	227	
82	11	-19	-8	-71	0	14	58	100	79	121	156	
68	-3	-33	-22	-85	-14	0	44	86	65	107	142	
24	-47	-77	-66	-129	-58	-44	0	42	21	63	98	
-18	-89	-119	-108	-171	-100	-86	-42	0	-21	21	56	
3	-68	-98	-87	-150	-79	-65	-21	21	0	42	77	
-39	-110	-140	-129	-192	-121	-107	-63	-21	-42	0	35	
-74	-145	-175	-164	-227	-156	-142	-98	-56	-77	-35	0	
