0	-22	-110	11	-58	-95	-133	-128	-207	-180	-183	-194	
22	0	-88	33	-36	-73	-111	-106	-185	-158	-161	-172	
110	88	0	121	52	15	-23	-18	-97	-70	-73	-84	
-11	-33	-121	0	-69	-106	-144	-139	-218	-191	-194	-205	
58	36	-52	69	0	-37	-75	-70	-149	-122	-125	-136	
95	73	-15	106	37	0	-38	-33	-112	-85	-88	-99	
133	111	23	144	75	38	0	5	-74	-47	-50	-61	
128	106	18	139	70	33	-5	0	-79	-52	-55	-66	
207	185	97	218	149	112	74	79	0	27	24	13	
180	158	70	191	122	85	47	52	-27	0	-3	-14	
183	161	73	194	125	88	50	55	-24	3	0	-11	
194	172	84	205	136	99	61	66	-13	14	11	0	
