0	-52	-139	-234	-85	-102	10	-91	2	25	20	-78	
52	0	-87	-182	-33	-50	62	-39	54	77	72	-26	
139	87	0	-95	54	37	149	48	141	164	159	61	
234	182	95	0	149	132	244	143	236	259	254	156	
85	33	-54	-149	0	-17	95	-6	87	110	105	7	
102	50	-37	-132	17	0	112	11	104	127	122	24	
-10	-62	-149	-244	-95	-112	0	-101	-8	15	10	-88	
91	39	-48	-143	6	-11	101	0	93	116	111	13	
-2	-54	-141	-236	-87	-104	8	-93	0	23	18	-80	
-25	-77	-164	-259	-110	-127	-15	-116	-23	0	-5	-103	
-20	-72	-159	-254	-105	-122	-10	-111	-18	5	0	-98	
78	26	-61	-156	-7	-24	88	-13	80	103	98	0	
